Event,Year,Champion,Country,Time
Men's open division,1897,John J. McDermott,United States,02:55:10
Men's open division,1898,Ronald J. MacDonald,Canada,02:42:00
Men's open division,1899,Lawrence Brignolia,United States,02:54:38
Men's open division,1900,John P. Caffery,Canada,02:39:44
Men's open division,1901,John P. Caffery,Canada,02:29:23
Men's open division,1902,Sammy A. Mellor,United States,02:43:12
Men's open division,1903,John C. Lorden,United States,02:41:29
Men's open division,1904,Michael Spring,United States,02:38:04
Men's open division,1905,Frederick Lorz,United States,02:38:25
Men's open division,1906,Timothy Ford,United States,02:45:45
Men's open division,1907,Thomas Longboat,Canada,02:24:24
Men's open division,1908,Thomas P. Morrissey,United States,02:25:43
Men's open division,1909,Henri Renaud,United States,02:53:36
Men's open division,1910,Fred L. Cameron,Canada,02:28:52
Men's open division,1911,Clarence H. DeMar,United States,02:21:39
Men's open division,1912,Michael J. Ryan,United States,02:21:18
Men's open division,1913,Fritz Carlson,United States,02:25:14
Men's open division,1914,James Duffy,Canada,02:25:01
Men's open division,1915,Edouard Fabre,Canada,02:31:41
Men's open division,1916,Arthur V. Roth,United States,02:27:16
Men's open division,1917,William J. (Bill) Kennedy,United States,02:28:37
Men's open division,1918,Camp Devens Divisional Team,United States,02:24:53
Men's open division,1919,Carl W. A. Linder,United States,02:29:13
Men's open division,1920,Peter Trivoulidas,Greece,02:29:31
Men's open division,1921,Frank T. Zuna,United States,02:18:57
Men's open division,1922,Clarence H. DeMar,United States,02:18:10
Men's open division,1923,Clarence H. DeMar,United States,02:23:47
Men's open division,1924,Clarence H. DeMar,United States,02:29:40
Men's open division,1925,Charles L. (Chuck) Mellor,United States,02:33:00
Men's open division,1926,John C. Miles,Canada,02:25:40
Men's open division,1927,Clarence H. DeMar,United States,02:40:22
Men's open division,1928,Clarence H. DeMar,United States,02:37:07
Men's open division,1929,John C. Miles,Canada,02:33:08
Men's open division,1930,Clarence H. DeMar,United States,02:34:48
Men's open division,1931,James P. Henigan,United States,02:46:45
Men's open division,1932,Paul de Bruyn,Germany,02:33:36
Men's open division,1933,Leslie S. Pawson,United States,02:31:01
Men's open division,1934,Dave Komonen,Canada,02:32:53
Men's open division,1935,John A. Kelley,United States,02:32:07
Men's open division,1936,Ellison M. Brown,United States,02:33:40
Men's open division,1937,Walter Young,Canada,02:33:20
Men's open division,1938,Leslie S. Pawson,United States,02:35:34
Men's open division,1939,Ellison M. Brown,United States,02:28:51
Men's open division,1940,Gerard Cote,Canada,02:28:28
Men's open division,1941,Leslie S. Pawson,United States,02:30:38
Men's open division,1942,Bernard Joseph (Joe) Smith,United States,02:26:51
Men's open division,1943,Gerard Cote,Canada,02:28:25
Men's open division,1944,Gerard Cote,Canada,02:31:50
Men's open division,1945,John A. Kelley,United States,02:30:40
Men's open division,1946,Stylianos Kyriakides,Greece,02:29:27
Men's open division,1947,Yun Bok Suh,Korea,02:25:39
Men's open division,1948,Gerard Cote,Canada,02:31:02
Men's open division,1949,Karl Gosta Leandersson,Sweden,02:31:50
Men's open division,1950,Ki-Yong Ham,Korea,02:32:39
Men's open division,1951,Shigeki Tanaka,Japan,02:27:45
Men's open division,1952,Doroteo Flores,Guatemala,02:31:53
Men's open division,1953,Keizo Yamada,Japan,02:18:51
Men's open division,1954,Veikko Karvonen,Finland,02:20:39
Men's open division,1955,Hideo Hamamura,Japan,02:18:22
Men's open division,1956,Antti Viskari,Finland,02:14:14
Men's open division,1957,John J. Kelley,United States,02:20:05
Men's open division,1958,Franjo Mihalic,Yugoslavia,02:25:54
Men's open division,1959,Eino Oksanen,Finland,02:22:42
Men's open division,1960,Paavo Kotila,Finland,02:20:54
Men's open division,1961,Eino Oksanen,Finland,02:23:39
Men's open division,1962,Eino Oksanen,Finland,02:23:48
Men's open division,1963,Aurele Vandendriessche,Belgium,02:18:58
Men's open division,1964,Aurele Vandendriessche,Belgium,02:19:59
Men's open division,1965,Morio Shigematsu,Japan,02:16:33
Men's open division,1966,Kenji Kimihara,Japan,02:17:11
Men's open division,1967,David C. McKenzie,New Zealand,02:15:45
Men's open division,1968,Amby Burfoot,United States,02:22:17
Men's open division,1969,Yoshiaki Unetani,Japan,02:13:49
Men's open division,1970,Ron Hill,England,02:10:30
Men's open division,1971,Alvaro Mejia,Colombia,02:18:45
Men's open division,1972,Olavi Suomalainen,Finland,02:15:39
Men's open division,1973,Jon Anderson,United States,02:16:03
Men's open division,1974,Neil Cusack,Ireland,02:13:39
Men's open division,1975,Bill Rodgers,United States,02:09:55
Men's open division,1976,Jack Fultz,United States,02:20:19
Men's open division,1977,Jerome Drayton,Canada,02:14:46
Men's open division,1978,Bill Rodgers,United States,02:10:13
Men's open division,1979,Bill Rodgers,United States,02:09:27
Men's open division,1980,Bill Rodgers,United States,02:12:11
Men's open division,1981,Toshihiko Seko,Japan,02:09:26
Men's open division,1982,Alberto Salazar,United States,02:08:52
Men's open division,1983,Greg A. Meyer,United States,02:09:00
Men's open division,1984,Geoff Smith,England,02:10:34
Men's open division,1985,Geoff Smith,England,02:14:05
Men's open division,1986,Robert de Castella,Australia,02:07:51
Men's open division,1987,Toshihiko Seko,Japan,02:11:50
Men's open division,1988,Ibrahim Hussein,Kenya,02:08:43
Men's open division,1989,Abebe Mekonnen,Ethiopia,02:09:06
Men's open division,1990,Gelindo Bordin,Italy,02:08:19
Men's open division,1991,Ibrahim Hussein,Kenya,02:11:06
Men's open division,1992,Ibrahim Hussein,Kenya,02:08:14
Men's open division,1993,Cosmas Ndeti,Kenya,02:09:33
Men's open division,1994,Cosmas Ndeti,Kenya,02:07:15
Men's open division,1995,Cosmas Ndeti,Kenya,02:09:22
Men's open division,1996,Moses Tanui,Kenya,02:09:15
Men's open division,1997,Lameck Aguta,Kenya,02:10:34
Men's open division,1998,Moses Tanui,Kenya,02:07:34
Men's open division,1999,Joseph Chebet,Kenya,02:09:52
Men's open division,2000,Elijah Lagat,Kenya,02:09:47
Men's open division,2001,Lee Bong-Ju,South Korea,02:09:43
Men's open division,2002,Rodgers Rop,Kenya,02:09:02
Men's open division,2003,Robert Kipkoech Cheruiyot,Kenya,02:10:11
Men's open division,2004,Timothy Cherigat,Kenya,02:10:37
Men's open division,2005,Hailu Negussie,Ethiopia,02:11:45
Men's open division,2006,Robert Kipkoech Cheruiyot,Kenya,02:07:14
Men's open division,2007,Robert Kipkoech Cheruiyot,Kenya,02:14:13
Men's open division,2008,Robert Kipkoech Cheruiyot,Kenya,02:07:46
Men's open division,2009,Deriba Merga,Ethiopia,02:08:42
Men's open division,2010,Robert Kiprono Cheruiyot,Kenya,02:05:52
Men's open division,2011,Geoffrey Mutai,Kenya,02:03:02
Men's open division,2012,Wesley Korir,Kenya,02:12:40
Men's open division,2013,Lelisa Desisa,Ethiopia,02:10:22
Men's open division,2014,"Mebrahtom ""Meb"" Keflezighi",United States,02:08:37
Men's open division,2015,Lelisa Desisa,Ethiopia,02:09:17
Men's open division,2016,Lemi Berhanu,Ethiopia,02:12:45
Men's open division,2017,Geoffrey Kirui,Kenya,02:09:37
Men's open division,2018,Yuki Kawauchi,Japan,02:15:58
Men's open division,2019,Lawrence Cherono,Kenya,02:07:57
Men's wheelchair,1975,Robert Hall,United States,02:58:00
Men's wheelchair,1976,No Contestants,,NA
Men's wheelchair,1977,Robert Hall,United States,02:40:18
Men's wheelchair,1978,George Murray,United States,02:26:57
Men's wheelchair,1979,Kenneth Archer,United States,02:38:59
Men's wheelchair,1980,Curt Brinkman,United States,01:55:00
Men's wheelchair,1981,Jim Martinson,United States,02:00:41
Men's wheelchair,1982,Jim Knaub,United States,01:51:31
Men's wheelchair,1983,Jim Knaub,United States,01:47:10
Men's wheelchair,1984,Andre Viger,Canada,02:05:20
Men's wheelchair,1985,George Murray,United States,01:45:34
Men's wheelchair,1986,Andre Viger,Canada,01:43:25
Men's wheelchair,1987,Andre Viger,Canada,01:55:42
Men's wheelchair,1988,Mustapha Badid,France,01:43:19
Men's wheelchair,1989,Philippe Couprie,France,01:36:04
Men's wheelchair,1990,Mustapha Badid,France,01:29:53
Men's wheelchair,1991,Jim Knaub,United States,01:30:44
Men's wheelchair,1992,Jim Knaub,United States,01:26:28
Men's wheelchair,1993,Jim Knaub,United States,01:22:17
Men's wheelchair,1994,Heinz Frei,Switzerland,01:21:23
Men's wheelchair,1995,Franz Nietlispach,Switzerland,01:25:59
Men's wheelchair,1996,Heinz Frei,Switzerland,01:30:14
Men's wheelchair,1997,Franz Nietlispach,Switzerland,01:28:14
Men's wheelchair,1998,Franz Nietlispach,Switzerland,01:21:52
Men's wheelchair,1999,Franz Nietlispach,Switzerland,01:21:36
Men's wheelchair,2000,Franz Nietlispach,Switzerland,01:33:32
Men's wheelchair,2001,Ernst Van Dyk,South Africa,01:25:12
Men's wheelchair,2002,Ernst Van Dyk,South Africa,01:23:19
Men's wheelchair,2003,Ernst Van Dyk,South Africa,01:28:32
Men's wheelchair,2004,Ernst Van Dyk,South Africa,01:18:27
Men's wheelchair,2005,Ernst Van Dyk,South Africa,01:24:11
Men's wheelchair,2006,Ernst Van Dyk,South Africa,01:25:29
Men's wheelchair,2007,Masazumi Soejima,Japan,01:29:16
Men's wheelchair,2008,Ernst Van Dyk,South Africa,01:26:49
Men's wheelchair,2009,Ernst Van Dyk,South Africa,01:33:29
Men's wheelchair,2010,Ernst Van Dyk,South Africa,01:26:53
Men's wheelchair,2011,Masazumi Soejima,Japan,01:18:50
Men's wheelchair,2012,Joshua Cassidy,Canada,01:18:25
Men's wheelchair,2013,Hiroyuki Yamamoto,Japan,01:24:25
Men's wheelchair,2014,Ernst Van Dyk,South Africa,01:20:36
Men's wheelchair,2015,Marcel Hug,Switzerland,01:29:53
Men's wheelchair,2016,Marcel Hug,Switzerland,01:24:06
Men's wheelchair,2017,Marcel Hug,Switzerland,01:18:04
Men's wheelchair,2018,Marcel Hug,Switzerland,01:46:26
Men's wheelchair,2019,Daniel Romanchuk,United States,01:21:36
Women's open champion,1972,Nina Kuscsik,United States,03:10:26
Women's open champion,1973,Jacqueline A. Hansen,United States,03:05:59
Women's open champion,1974,Michiko (Miki) Gorman,United States,02:47:11
Women's open champion,1975,Liane Winter,Germany,02:42:24
Women's open champion,1976,Kim Merritt,United States,02:47:10
Women's open champion,1977,Michiko (Miki) Gorman,United States,02:48:33
Women's open champion,1978,Gayle S. Barron,United States,02:44:52
Women's open champion,1979,Joan Benoit,United States,02:35:15
Women's open champion,1980,Jacqueline Gareau,Canada,02:34:28
Women's open champion,1981,Allison Roe,New Zealand,02:26:46
Women's open champion,1982,Charlotte Teske,Germany,02:29:33
Women's open champion,1983,Joan Benoit,United States,02:22:43
Women's open champion,1984,Lorraine Moller,New Zealand,02:29:28
Women's open champion,1985,Lisa Larsen-Weidenbach,United States,02:34:06
Women's open champion,1986,Ingrid Kristiansen,Norway,02:24:55
Women's open champion,1987,Rosa Mota,Portugal,02:25:21
Women's open champion,1988,Rosa Mota,Portugal,02:24:30
Women's open champion,1989,Ingrid Kristiansen,Norway,02:24:33
Women's open champion,1990,Rosa Mota,Portugal,02:25:24
Women's open champion,1991,Wanda Panfil,Poland,02:24:18
Women's open champion,1992,Olga Markova,Comm. Ind. States,02:23:43
Women's open champion,1993,Olga Markova,Russia,02:25:27
Women's open champion,1994,Uta Pippig,Germany,02:21:45
Women's open champion,1995,Uta Pippig,Germany,02:25:11
Women's open champion,1996,Uta Pippig,Germany,02:27:12
Women's open champion,1997,Fatuma Roba,Ethiopia,02:26:23
Women's open champion,1998,Fatuma Roba,Ethiopia,02:23:21
Women's open champion,1999,Fatuma Roba,Ethiopia,02:23:25
Women's open champion,2000,Catherine Ndereba,Kenya,02:26:11
Women's open champion,2001,Catherine Ndereba,Kenya,02:23:53
Women's open champion,2002,Margaret Okayo,Kenya,02:20:43
Women's open champion,2003,Svetlana Zakharova,Russia,02:25:20
Women's open champion,2004,Catherine Ndereba,Kenya,02:24:27
Women's open champion,2005,Catherine Ndereba,Kenya,02:25:13
Women's open champion,2006,Rita Jeptoo,Kenya,02:23:38
Women's open champion,2007,Lidiya Grigoryeva,Russia,02:29:18
Women's open champion,2008,Dire Tune,Ethiopia,02:25:25
Women's open champion,2009,Salina Kosgei,Kenya,02:32:16
Women's open champion,2010,Teyba Erkesso,Ethiopia,02:26:11
Women's open champion,2011,Caroline Kilel,Kenya,02:22:36
Women's open champion,2012,Sharon Cherop,Kenya,02:31:50
Women's open champion,2013,Rita Jeptoo,Kenya,02:26:25
Women's open champion,2014,Buzunesh Deba,Ethiopia,02:19:59
Women's open champion,2015,Caroline Rotich,Kenya,02:24:55
Women's open champion,2016,Atsede Baysa,Ethiopia,02:29:19
Women's open champion,2017,Edna Kiplagat,Kenya,02:21:52
Women's open champion,2018,Desiree Linden,United States,02:39:54
Women's open champion,2019,Worknesh Degefa,Ethiopia,02:23:31
Women's pioneer era,1966,Roberta (Bobbi) Gibb,United States,03:21:40
Women's pioneer era,1967,Roberta (Bobbi) Gibb,United States,03:27:17
Women's pioneer era,1968,Roberta (Bobbi) Gibb,United States,03:30:00
Women's pioneer era,1969,Sara Mae Berman,United States,03:22:46
Women's pioneer era,1970,Sara Mae Berman,United States,03:05:07
Women's pioneer era,1971,Sara Mae Berman,United States,03:08:30
Women's wheelchair,1977,Sharon Rahn,United States,03:48:51
Women's wheelchair,1978,Susan Shapiro,United States,03:52:35
Women's wheelchair,1979,Sheryl Bair,United States,03:27:56
Women's wheelchair,1980,Sharon Limpert,United States,02:49:04
Women's wheelchair,1981,Candace Cable,United States,02:38:41
Women's wheelchair,1982,Candace Cable-Brookes,United States,02:12:43
Women's wheelchair,1983,Sherry Ramsey,United States,02:27:07
Women's wheelchair,1984,Sherry Ramsey,United States,02:56:51
Women's wheelchair,1985,Candace Cable-Brookes,United States,02:05:26
Women's wheelchair,1986,Candace Cable-Brookes,United States,02:09:28
Women's wheelchair,1987,Candace Cable-Brookes,United States,02:19:55
Women's wheelchair,1988,Candace Cable-Brookes,United States,02:10:44
Women's wheelchair,1989,Connie Hansen,Denmark,01:50:06
Women's wheelchair,1990,Jean Driscoll,United States,01:43:17
Women's wheelchair,1991,Jean Driscoll,United States,01:42:42
Women's wheelchair,1992,Jean Driscoll,United States,01:36:52
Women's wheelchair,1993,Jean Driscoll,United States,01:34:50
Women's wheelchair,1994,Jean Driscoll,United States,01:34:22
Women's wheelchair,1995,Jean Driscoll,United States,01:40:42
Women's wheelchair,1996,Jean Driscoll,United States,01:52:56
Women's wheelchair,1997,Louise Sauvage,Australia,01:54:28
Women's wheelchair,1998,Louise Sauvage,Australia,01:41:19
Women's wheelchair,1999,Louise Sauvage,Australia,01:42:23
Women's wheelchair,2000,Jean Driscoll,United States,02:00:52
Women's wheelchair,2001,Louise Sauvage,Australia,01:53:54
Women's wheelchair,2002,Edith Hunkeler,Switzerland,01:45:57
Women's wheelchair,2003,Christina Ripp,United States,01:54:47
Women's wheelchair,2004,Cheri Blauwet,United States,01:39:53
Women's wheelchair,2005,Cheri Blauwet,United States,01:47:45
Women's wheelchair,2006,Edith Hunkeler,Switzerland,01:43:42
Women's wheelchair,2007,Wakako Tsuchida,Japan,01:53:30
Women's wheelchair,2008,Wakako Tsuchida,Japan,01:48:32
Women's wheelchair,2009,Wakako Tsuchida,Japan,01:54:37
Women's wheelchair,2010,Wakako Tsuchida,Japan,01:43:32
Women's wheelchair,2011,Wakako Tsuchida,Japan,01:34:06
Women's wheelchair,2012,Shirley Reilly,United States,01:37:36
Women's wheelchair,2013,Tatyana McFadden,United States,01:45:24
Women's wheelchair,2014,Tatyana McFadden,United States,01:35:06
Women's wheelchair,2015,Tatyana McFadden,United States,01:52:54
Women's wheelchair,2016,Tatyana McFadden,United States,01:42:16
Women's wheelchair,2017,Manuela Schar,Switzerland,01:28:17
Women's wheelchair,2018,Tatyana McFadden,United States,02:04:39
Women's wheelchair,2019,Manuela Schar,Switzerland,01:34:19
