Quarter,Beer,Tobacco,Bricks,Cement,Electricity,Gas
1956 Q1,284,5225,189,465,3923,5
1956 Q2,213,5178,204,532,4436,6
1956 Q3,227,5297,208,561,4806,7
1956 Q4,308,5681,197,570,4418,6
1957 Q1,262,5577,187,529,4339,5
1957 Q2,228,5651,214,604,4811,7
1957 Q3,236,5317,227,603,5259,7
1957 Q4,320,6152,222,582,4735,6
1958 Q1,272,5758,199,554,4608,5
1958 Q2,233,5641,229,620,5196,7
1958 Q3,237,5802,249,646,5609,8
1958 Q4,313,6265,234,637,4977,6
1959 Q1,261,5478,208,573,4883,5
1959 Q2,227,5892,251,673,5744,7
1959 Q3,250,5952,267,690,6035,8
1959 Q4,314,6597,255,681,5514,6
1960 Q1,286,5980,242,621,5387,6
1960 Q2,227,6154,268,698,6211,8
1960 Q3,260,5478,290,753,6659,8
1960 Q4,311,6716,277,728,5983,7
1961 Q1,295,6022,241,688,5709,6
1961 Q2,233,6070,253,737,6458,7
1961 Q3,257,6303,265,742,6875,8
1961 Q4,339,6693,236,692,6162,6
1962 Q1,279,6072,229,637,6098,6
1962 Q2,250,6112,265,757,7075,8
1962 Q3,270,6146,275,783,7595,8
1962 Q4,346,6787,258,757,6891,7
1963 Q1,294,6051,231,674,6707,6
1963 Q2,255,6259,263,774,7874,8
1963 Q3,278,6348,308,835,8555,9
1963 Q4,363,6883,313,838,7503,7
1964 Q1,313,5890,293,797,7469,6
1964 Q2,273,6365,328,904,8829,8
1964 Q3,300,7373,349,949,9513,9
1964 Q4,370,6768,340,975,8415,7
1965 Q1,331,6201,309,902,8170,6
1965 Q2,288,6332,349,974,9503,8
1965 Q3,306,7213,366,969,10306,9
1965 Q4,386,6600,340,967,9077,7
1966 Q1,335,5522,302,849,8650,6
1966 Q2,288,6184,350,961,10180,8
1966 Q3,308,7202,362,966,11234,10
1966 Q4,402,6599,337,922,9836,7
1967 Q1,353,5801,306,836,9490,6
1967 Q2,316,6771,358,998,10991,9
1967 Q3,325,6837,359,1025,12170,10
1967 Q4,405,6685,357,971,10470,7
1968 Q1,393,6255,341,892,10087,6
1968 Q2,319,6977,380,973,11858,9
1968 Q3,327,7417,404,1047,13198,11
1968 Q4,442,7075,409,1017,11413,8
1969 Q1,383,6641,383,948,11136,7
1969 Q2,332,7154,417,1032,13040,10
1969 Q3,361,7929,454,1190,14248,13
1969 Q4,446,7362,428,1136,12759,11
1970 Q1,387,6807,386,1049,12328,12
1970 Q2,357,7612,428,1134,14493,18
1970 Q3,374,7862,434,1229,15664,23
1970 Q4,466,7126,417,1188,13781,20
1971 Q1,410,7255,385,1058,13299,19
1971 Q2,370,8076,433,1209,15230,23
1971 Q3,379,8405,453,1199,16667,28
1971 Q4,487,7974,436,1253,14484,24
1972 Q1,419,6500,399,1070,13838,24
1972 Q2,378,7119,461,1282,15919,34
1972 Q3,393,7367,476,1303,17149,40
1972 Q4,506,7549,477,1281,15564,35
1973 Q1,458,7168,452,1148,15024,34
1973 Q2,387,7635,461,1305,17064,41
1973 Q3,427,8446,534,1342,18512,48
1973 Q4,565,7593,516,1452,16467,39
1974 Q1,465,6823,478,1184,16249,38
1974 Q2,445,7856,526,1352,18515,48
1974 Q3,450,8574,518,1316,20377,52
1974 Q4,556,8163,417,1353,17681,43
1975 Q1,500,6971,340,1121,16692,39
1975 Q2,452,8021,437,1297,19184,49
1975 Q3,435,8133,459,1318,20078,55
1975 Q4,554,8349,449,1281,18260,47
1976 Q1,510,6687,424,1109,18023,44
1976 Q2,433,7991,501,1299,20234,58
1976 Q3,453,6900,540,1341,22272,65
1976 Q4,548,7119,533,1290,19684,54
1977 Q1,486,7156,457,1101,19031,49
1977 Q2,453,8671,513,1284,21545,64
1977 Q3,457,8459,522,1321,23270,74
1977 Q4,566,7367,478,1317,20107,58
1978 Q1,515,7219,421,1122,20084,56
1978 Q2,464,7344,487,1261,22634,71
1978 Q3,431,7314,470,1312,24494,78
1978 Q4,588,7379,482,1298,21396,65
1979 Q1,503,7084,458,1205,21323,59
1979 Q2,443,7882,526,1302,23644,74
1979 Q3,448,7816,573,1377,25994,88
1979 Q4,555,6786,563,1359,22802,71
1980 Q1,513,6794,513,1232,22604,68
1980 Q2,427,8168,551,1386,24510,91
1980 Q3,473,8097,589,1440,26690,103
1980 Q4,526,7820,564,1439,24132,83
1981 Q1,548,6437,519,1282,23639,88
1981 Q2,440,7995,581,1573,26320,110
1981 Q3,469,8238,581,1533,28345,120
1981 Q4,575,8026,578,1641,24890,101
1982 Q1,493,6697,501,1337,24675,93
1982 Q2,433,7749,560,1575,27122,116
1982 Q3,480,8043,512,1475,28590,127
1982 Q4,576,7469,412,1357,25371,98
1983 Q1,475,6559,303,1086,24687,92
1983 Q2,405,7852,409,1158,27285,118
1983 Q3,435,7449,420,1279,29290,124
1983 Q4,535,6975,413,1313,26684,104
1984 Q1,453,6631,400,1166,26641,97
1984 Q2,430,6928,469,1373,29042,116
1984 Q3,417,6542,482,1456,31856,130
1984 Q4,552,6819,484,1495,28343,111
1985 Q1,464,6033,447,1251,28982,103
1985 Q2,417,7678,507,1456,30838,120
1985 Q3,423,7341,533,1631,33165,132
1985 Q4,554,6829,505,1555,29648,107
1986 Q1,459,5733,442,1375,29506,98
1986 Q2,428,7465,503,1546,32002,127
1986 Q3,429,7780,506,1568,34375,137
1986 Q4,534,7234,443,1561,31046,112
1987 Q1,481,5765,414,1332,31015,106
1987 Q2,416,7476,485,1458,33685,130
1987 Q3,440,6742,495,1501,35850,158
1987 Q4,538,7217,458,1615,33211,123
1988 Q1,474,6034,428,1418,33142,116
1988 Q2,440,7389,519,1625,34664,137
1988 Q3,447,7077,555,1770,37154,157
1988 Q4,598,6837,538,1791,35303,125
1989 Q1,467,6051,510,1621,36905,117
1989 Q2,439,7193,571,1719,37333,149
1989 Q3,446,6639,556,1972,40413,175
1989 Q4,567,7060,509,1894,36579,139
1990 Q1,485,6562,458,1565,37016,125
1990 Q2,441,7063,510,1645,39103,152
1990 Q3,429,7374,494,1658,41067,161
1990 Q4,599,6563,460,1668,37653,123
1991 Q1,464,6202,372,1343,37554,111
1991 Q2,424,6694,436,1441,38752,141
1991 Q3,436,6748,422,1444,41424,160
1991 Q4,574,6160,423,1497,38101,125
1992 Q1,443,5777,383,1289,38332,117
1992 Q2,410,5853,404,1501,39774,151
1992 Q3,420,6416,446,1539,42246,175
1992 Q4,532,5825,420,1568,38498,129
1993 Q1,433,5724,394,1450,39460,116
1993 Q2,421,6036,462,1668,41356,149
1993 Q3,410,6570,475,1648,42949,163
1993 Q4,512,5675,443,1863,40974,138
1994 Q1,449,5311,421,1468,40162,127
1994 Q2,381,5717,475,1755,41199,159
1994 Q3,423,7000,497,1962,44095,184
1994 Q4,531,6085,476,1833,41745,147
1995 Q1,426,4714,430,1626,41768,131
1995 Q2,408,3939,457,1703,43686,167
1995 Q3,416,6137,417,1733,46022,181
1995 Q4,520,4739,370,1545,42800,145
1996 Q1,409,4275,310,1526,43661,133
1996 Q2,398,5239,358,1593,44707,162
1996 Q3,398,6293,379,1706,46326,184
1996 Q4,507,5575,369,1699,43346,146
1997 Q1,432,4802,330,1511,43938,135
1997 Q2,398,5523,390,1785,45828,171
1997 Q3,406,5708,416,1826,48448,183
1997 Q4,526,4821,383,1830,46096,151
1998 Q1,428,4919,339,1719,46198,141
1998 Q2,397,5809,394,1861,47237,174
1998 Q3,403,5904,412,1956,49041,191
1998 Q4,517,4555,420,2067,46192,157
1999 Q1,435,5198,376,1737,48089,145
1999 Q2,383,5388,401,1944,48227,182
1999 Q3,424,5142,430,2005,49784,198
1999 Q4,521,5517,417,2027,47588,165
2000 Q1,421,5169,416,1835,49320,164
2000 Q2,402,4860,447,2070,50670,199
2000 Q3,414,5185,421,1898,52623,213
2000 Q4,500,4763,379,1652,49350,173
2001 Q1,451,4217,304,1554,51658,177
2001 Q2,380,4959,337,1717,51103,205
2001 Q3,416,5196,385,1679,52226,218
2001 Q4,492,4522,381,1836,50778,185
2002 Q1,428,3843,345,1729,50639,166
2002 Q2,408,4806,405,1992,51486,204
2002 Q3,406,5280,417,2030,53299,228
2002 Q4,506,4709,420,1978,51646,186
2003 Q1,435,4362,387,1831,51415,172
2003 Q2,380,5210,415,1892,51379,204
2003 Q3,421,5258,440,2227,54808,232
2003 Q4,490,4526,413,2090,52453,188
2004 Q1,435,3974,409,1963,54561,173
2004 Q2,390,5027,423,2180,54644,215
2004 Q3,412,NA,428,2307,55915,227
2004 Q4,454,NA,397,2157,52850,190
2005 Q1,416,NA,355,1980,55035,170
2005 Q2,403,NA,435,2481,55117,206
2005 Q3,408,NA,NA,2340,56043,221
2005 Q4,482,NA,NA,2265,54992,180
2006 Q1,438,NA,NA,2027,57112,171
2006 Q2,386,NA,NA,2278,57157,224
2006 Q3,405,NA,NA,2427,58400,233
2006 Q4,491,NA,NA,2451,56249,192
2007 Q1,427,NA,NA,2140,56244,187
2007 Q2,383,NA,NA,2362,55036,234
2007 Q3,394,NA,NA,2536,59806,245
2007 Q4,473,NA,NA,2562,56411,205
2008 Q1,420,NA,NA,2183,59118,194
2008 Q2,390,NA,NA,2558,56660,229
2008 Q3,410,NA,NA,2612,64067,249
2008 Q4,488,NA,NA,2373,59045,203
2009 Q1,415,NA,NA,1963,58368,196
2009 Q2,398,NA,NA,2160,57471,238
2009 Q3,419,NA,NA,2325,58394,252
2009 Q4,488,NA,NA,2273,57336,210
2010 Q1,414,NA,NA,1904,58309,205
2010 Q2,374,NA,NA,2401,58041,236
